user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_max,year_first,year_last,grade_first_fra,grade_last_fra,grade_mean_fra
32335,Canada,1,160,53,40.0,17,2010-05-22 22:00:00,2016-11-03 23:00:00,109,54,2010,2016,7a/+,6c/+,6a+/6b
24008,Canada,1,162,53,42.0,24,2003-07-04 22:00:00,2009-11-28 23:00:00,40,59,2003,2009,7a+,7a,7b
14015,Canada,0,175,73,51.0,28,2009-05-17 22:00:00,2016-03-29 22:00:00,78,68,2009,2016,7a+,7a+,7b+
58867,Canada,0,172,68,28.0,8,2015-04-02 22:00:00,2015-04-03 22:00:00,6,59,2015,2015,7a+,7b,7b/+
45105,Canada,0,191,83,27.0,6,2012-07-11 22:00:00,2014-05-31 22:00:00,2,53,2012,2014,6,7b,6b+/6c
59420,Canada,0,180,73,20.0,6,2015-04-29 22:00:00,2016-11-09 23:00:00,101,66,2015,2016,7c/+,7c,7c
13923,Canada,0,184,73,45.0,16,2005-06-27 22:00:00,2005-06-27 22:00:00,1,44,2005,2005,6b+/6c,6b+/6c,6b+/6c
32155,Canada,0,153,43,21.0,17,2010-05-30 22:00:00,2010-05-30 22:00:00,1,51,2010,2010,7a+,7a+,7a+
1543,Canada,0,175,88,42.0,23,2001-02-11 23:00:00,2004-04-06 22:00:00,8,53,2001,2004,7a+,6b/+,6c+/7a
65766,Canada,0,180,73,26.0,3,2017-04-26 22:00:00,2017-04-26 22:00:00,1,50,2017,2017,7a/+,7a/+,7a/+
58836,Canada,0,176,68,38.0,12,2014-10-14 22:00:00,2017-04-14 22:00:00,49,55,2014,2017,7a+,7a+,6c+
33493,Canada,0,165,63,29.0,15,2011-08-03 22:00:00,2015-11-07 23:00:00,31,64,2011,2015,7c+,8a/+,6c/+
15658,Canada,0,173,83,42.0,27,2007-03-10 23:00:00,2007-05-15 22:00:00,3,51,2007,2007,6c/+,7a+,6c+/7a
46678,Canada,0,183,63,25.0,9,2012-12-11 23:00:00,2012-12-11 23:00:00,4,59,2012,2012,7c+,6b/+,7a+
15708,Canada,0,178,78,42.0,26,2007-04-06 22:00:00,2009-05-24 22:00:00,10,62,2007,2009,7b+,7c+,7b+
13820,Canada,0,173,73,46.0,18,2003-05-17 22:00:00,2010-06-08 22:00:00,35,57,2003,2010,7a+,7a+/7b,7a+
13811,Canada,0,188,73,36.0,14,2011-09-05 22:00:00,2016-09-30 22:00:00,12,59,2011,2016,6a/+,7c,6c+
2352,Canada,0,178,78,44.0,28,2002-05-31 22:00:00,2004-04-07 22:00:00,6,53,2002,2004,7a+,7a+,7a+/7b
5044,Canada,1,166,53,45.0,15,2004-04-09 22:00:00,2007-03-14 23:00:00,12,42,2004,2007,5b+,5b+,5c
3876,Canada,0,175,63,37.0,21,2002-10-31 23:00:00,2008-05-11 22:00:00,64,68,2002,2008,8a/+,8a/+,7c/+
27523,Canada,0,186,83,28.0,11,2010-11-21 23:00:00,2017-06-25 22:00:00,22,57,2010,2017,6c/+,7b+,7a+
27942,Canada,1,170,63,26.0,12,2009-07-30 22:00:00,2009-06-30 22:00:00,2,51,2009,2009,7a+,6b+/6c,6c+/7a
11414,Canada,0,177,68,32.0,16,2004-05-19 22:00:00,2004-05-19 22:00:00,5,57,2004,2004,7a+,7a+,7b
6242,Canada,0,170,68,40.0,23,2004-04-10 22:00:00,2010-10-22 22:00:00,38,66,2004,2010,7c+,8b/+,7b+/7c
27963,Canada,0,165,63,32.0,8,2010-06-12 22:00:00,2010-06-12 22:00:00,2,36,2010,2010,6,6,6
63409,Canada,1,147,43,14.0,9,2016-07-05 22:00:00,2017-08-23 22:00:00,34,55,2016,2017,7a+,6b/+,6a+
21675,Canada,0,163,63,32.0,11,2008-08-19 22:00:00,2008-08-19 22:00:00,1,36,2008,2008,6,6,6
21661,Canada,0,178,63,31.0,19,2009-07-06 22:00:00,2017-07-21 22:00:00,47,66,2009,2017,7b,8a/+,7b+
41108,Canada,0,175,68,25.0,6,2014-06-29 22:00:00,2014-07-12 22:00:00,3,58,2014,2014,7c/+,7a+,7b+
35368,Canada,0,165,68,33.0,10,2010-06-24 22:00:00,2010-05-21 22:00:00,10,36,2010,2010,5b+,5b+,5b
6235,Canada,0,177,73,37.0,17,2003-12-31 23:00:00,2016-07-14 22:00:00,73,57,2004,2016,7a+,7a+,6c
51379,Canada,0,183,83,28.0,5,2014-10-16 22:00:00,2017-02-18 23:00:00,38,57,2014,2017,6,6c/+,6c/+
21247,Canada,1,165,58,36.0,13,2008-05-03 22:00:00,2009-09-25 22:00:00,9,44,2008,2009,6b+/6c,6b+/6c,6b/+
27264,Canada,0,178,63,36.0,19,2009-05-17 22:00:00,2016-04-25 22:00:00,187,62,2009,2016,8a/+,7a,6c+/7a
21406,Canada,1,159,53,34.0,12,2008-05-14 22:00:00,2013-08-28 22:00:00,66,57,2008,2013,6b/+,6c/+,6c/+
20890,Canada,1,165,53,34.0,9,2008-03-05 23:00:00,2010-04-02 22:00:00,23,42,2008,2010,5b+,5b+,5c+
21005,Canada,0,185,78,35.0,12,2008-04-19 22:00:00,2017-08-06 22:00:00,193,62,2008,2017,6a+/6b,6b+/6c,6c/+
60309,Canada,0,176,63,24.0,4,2014-08-23 22:00:00,2017-09-01 22:00:00,54,51,2014,2017,5a+,6b+/6c,6a
5729,Canada,0,180,78,39.0,18,2004-03-12 23:00:00,2006-01-07 23:00:00,10,62,2004,2006,7a+,7b,7b/+
