Country,grade_fra,route_count,color_intensity
Austria,7b/+,47,47
Austria,7c,76,76
Austria,7c+,59,59
Austria,7c+/8a,26,26
Austria,7c/+,41,41
Austria,8a,11,11
Austria,8a+,21,21
Austria,8a+/8b,30,30
Austria,8a/+,57,57
Austria,8b,14,14
Austria,8b+,9,9
Austria,8b+/8c,14,14
Austria,8b/+,14,14
Austria,8c,6,6
Austria,8c+,2,2
Austria,8c+/9a,5,5
Austria,8c/+,8,8
Austria,9a+,1,1
Belgium,5,13,13
Belgium,5a,8,8
Belgium,5a+,25,25
Belgium,5b,8,8
Belgium,5b+,32,32
Belgium,5c,12,12
Belgium,5c+,9,9
Belgium,6,49,49
Belgium,6a,18,18
Belgium,6a+,16,16
Belgium,6a+/6b,32,32
Belgium,6a/+,29,29
Belgium,6b,18,18
Belgium,6b+,4,4
Belgium,6b+/6c,20,20
Belgium,6b/+,17,17
Belgium,6c,11,11
Belgium,6c+,9,9
Belgium,6c+/7a,2,2
Belgium,6c/+,7,7
Belgium,7a,33,33
Belgium,7a+,17,17
Belgium,7a+/7b,13,13
Belgium,7a/+,7,7
Belgium,7b,12,12
Belgium,7b+,7,7
Belgium,7b+/7c,6,6
Belgium,7b/+,9,9
Belgium,7c,7,7
Belgium,7c+,1,1
Belgium,7c+/8a,7,7
Belgium,7c/+,6,6
Belgium,8a+,3,3
Belgium,8a+/8b,2,2
Belgium,8a/+,9,9
Belgium,8b,3,3
Belgium,8b+,1,1
Belgium,8b+/8c,1,1
Belgium,8b/+,3,3
Bosnia and Herzegovina,6a+/6b,1,1
Bosnia and Herzegovina,6c,1,1
Bosnia and Herzegovina,6c+/7a,1,1
Bulgaria,5,4,4
Bulgaria,5a,1,1
Bulgaria,5a+,6,6
Bulgaria,5b,8,8
Bulgaria,5b+,10,10
Bulgaria,5c,7,7
Bulgaria,5c+,9,9
Bulgaria,6,26,26
Bulgaria,6a,4,4
Bulgaria,6a+,16,16
Bulgaria,6a+/6b,26,26
Bulgaria,6a/+,13,13
Bulgaria,6b,10,10
Bulgaria,6b+,8,8
Bulgaria,6b+/6c,18,18
Bulgaria,6b/+,23,23
Bulgaria,6c,7,7
Bulgaria,6c+,14,14
Bulgaria,6c+/7a,11,11
Bulgaria,6c/+,10,10
Bulgaria,7a,19,19
Bulgaria,7a+,14,14
Bulgaria,7a+/7b,13,13
Bulgaria,7a/+,12,12
Bulgaria,7b,22,22
